Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_15_1416B,setup,1101664,25302.88064716358,27940465948.386086,11016.640000194046,1.3408006171474316
no_tls_15_1416B,compute,15363,42047.07018138732,133615369.47538438,153.63200000001166,0.031071520088176523
no_tls_15_1416B,sleep,28071704,5.1047219832297595,143298385.62499034,280717.0441093998,0.006892645662097475
no_tls_15_1416B,modem,1354850,30142.562544707696,40838658377.543564,13548.506000249312,1.964339976494338
no_tls_15_1416B,system,575633,3091.7231088138733,1779532840.6603668,5756.332000079227,0.0856034962465852
no_tls_15_2048B,total,31094436,2274.065021660881,70716043492.71524,310944.36413755117,3.401188047427066
no_tls_15_2048B,setup,1076832,25620.089547577736,27645456944.730186,10768.324000188626,1.3270088950300043
no_tls_15_2048B,compute,15416,42102.93944847139,134901719.2892633,154.16800000001118,0.031221353910372483
no_tls_15_2048B,sleep,28070815,5.110523550042965,143456379.058872,280708.1581093916,0.0069002607895217736
no_tls_15_2048B,modem,1356759,30226.325398127745,41010035152.560135,13567.59200024973,1.972573547715885
no_tls_15_2048B,system,574612,3101.610859395645,1782193296.4007258,5746.122000079004,0.08572494743926341
no_tls_20_256B,total,31225874,2206.357812403055,68907538200.04097,312258.7441387753,3.3138712393806338
no_tls_20_256B,setup,1097058,25669.58955406122,28247085379.00164,10970.580000193042,1.3545454745775007
no_tls_20_256B,compute,37546,42431.622836948176,912653824.3127804,375.45999999994854,0.0766299239008238
no_tls_20_256B,sleep,28171896,5.137858029038719,144742836.66158518,281718.9681103329,0.0069621482193656286
no_tls_20_256B,modem,1258802,29887.3165156223,37623272797.58164,12588.020000228347,1.809628484029199
no_tls_20_256B,system,660571,2997.102274232913,1979783361.846901,6605.716000097767,0.09522841100925111
no_tls_20_708B,total,31220745,2222.9870770488496,69410796727.29823,312207.4581387276,3.33829942649118
no_tls_20_708B,setup,1092035,25412.930089043908,27761891539.801136,10920.358000191945,1.3348629960938665
no_tls_20_708B,compute,37539,42879.45474801307,922252993.7841778,375.39799999994864,0.07742590407229849
no_tls_20_708B,sleep,28141189,5.316428357131288,149611602.20363724,281411.89211004693,0.007196270645222034
no_tls_20_708B,modem,1285929,30001.172632451962,38579168477.17749,12859.29800023427,1.8556692325308002
no_tls_20_708B,system,664051,3008.6893317415625,1997872113.6762128,6640.512000098526,0.09610013291371163
no_tls_20_1024B,total,31248493,2286.568322595692,71460649381.1437,312484.934138986,3.4368323096318165
no_tls_20_1024B,setup,1119985,25689.854930467984,28852613638.57009,11199.858000198046,1.3839463181539287
no_tls_20_1024B,compute,37528,42683.050030000144,915244205.8894904,375.28599999994873,0.07704826885620648
no_tls_20_1024B,sleep,28107380,5.7795571784793465,162449693.94132897,281073.80610973213,0.007813759063501107
no_tls_20_1024B,modem,1312180,30093.422296454657,39490323716.42521,13121.802000239997,1.8993724579305278
no_tls_20_1024B,system,671418,3038.71171794207,2040018125.728436,6714.182000100135,0.09813584953168103
