Label, Section, Number of samples, Average Current (uA), Total Current (uA) ,Total time(ms)
tls_15_708B,system_above_160uA,755616,22200.529232675475,16775075096.67731,16775075096.67731
tls_15_1416B,total,13454545,3781.136512633737,50873471360.37368,134545.44
tls_15_1416B,setup,1448853,23278.891800177607,33727692221.36273,14488.519999999999
tls_15_1416B,compute,1436,23077.932018571755,33139910.37866904,14.360000000007858
tls_15_1416B,send,4536,10704.321821178413,48554803.78086528,45.359999999993306
tls_15_1416B,sleep,11999720,1422.040216365242,17064084425.122322,119997.2
tls_15_1416B,modem,1753907,28229.64287574716,49512168247.27307,17539.070000000123
tls_15_1416B,system_above_10uA,1705799,9982.382513435401,17027938109.035593,17027938109.035593
tls_15_1416B,system_above_20uA,1625391,10475.446833333735,17026697003.879152,17026697003.879152
tls_15_1416B,system_above_40uA,771870,22027.551004233006,17002405793.63733,17002405793.63733
tls_15_1416B,system_above_80uA,770900,22055.20407158135,17002356818.782063,17002356818.782063
tls_15_1416B,system_above_160uA,769800,22086.548437571622,17002224987.242636,17002224987.242636
no_tls_15_2048B,total,13111997,2639.808137221585,34613156375.82501,131119.96000000002
no_tls_15_2048B,setup,13111997,2639.808137221585,34613156375.82501,131119.96000000002
no_tls_15_2048B,compute,0,0,0,0
no_tls_15_2048B,send,0,0,0,0
no_tls_15_2048B,sleep,0,0,0,0
no_tls_15_2048B,modem,1232382,27549.869484987725,33951963255.64814,12323.819999999996
no_tls_15_2048B,system_above_10uA,0,0,0,0
no_tls_15_2048B,system_above_20uA,0,0,0,0
no_tls_15_2048B,system_above_40uA,0,0,0,0
no_tls_15_2048B,system_above_80uA,0,0,0,0
no_tls_15_2048B,system_above_160uA,0,0,0,0
no_tls_10_708B,total,13263678,3373.230532405309,44741443601.59258,132636.82
no_tls_10_708B,setup,1260187,24255.709730821975,30566730078.55535,12601.860000000002
no_tls_10_708B,compute,44,13165.66093594246,579289.0811814682,0.4399999999986903
no_tls_10_708B,send,3727,7810.390676587673,29109326.051642258,37.26999999998952
no_tls_10_708B,sleep,11999720,1178.7795805346716,14145024908.13351,119997.25
no_tls_10_708B,modem,1553692,28093.840135231756,43649174667.3885,15536.92000000016
no_tls_10_708B,system_above_10uA,1403379,10053.034870939136,14108218024.143694,14108218024.143694
no_tls_10_708B,system_above_20uA,1340524,10523.68392511389,14107250870.029373,14107250870.029373
no_tls_10_708B,system_above_40uA,644912,21843.86791326861,14087372543.681885,14087372543.681885
no_tls_10_708B,system_above_80uA,643988,21875.135487156076,14087324752.102667,14087324752.102667
no_tls_10_708B,system_above_160uA,642766,21916.495028852438,14087177843.715366,14087177843.715366
no_tls_25_256B,total,14757376,3820.5528671731468,56381335188.75218,147573.75
no_tls_25_256B,setup,1281728,24945.384401060324,31973197657.602245,12817.27
no_tls_25_256B,compute,1468903,6692.68294094501,9830902050.002949,14689.029999999995
no_tls_25_256B,send,7019,7085.522756414028,49733284.22727006,70.19000000000597
no_tls_25_256B,sleep,11999726,1210.6528263795326,14527502197.679964,119997.26
no_tls_25_256B,modem,1835322,28363.37362184961,52055923602.40027,18353.22000000013
no_tls_25_256B,system_above_10uA,1438990,10070.127690831785,14490813045.83003,14490813045.83003
no_tls_25_256B,system_above_20uA,1375305,10535.719205423715,14489827301.815262,14489827301.815262
no_tls_25_256B,system_above_40uA,700338,20662.258511317224,14470564801.298882,14470564801.298882
no_tls_25_256B,system_above_80uA,698938,20703.539661091905,14470490603.644253,14470490603.644253
no_tls_25_256B,system_above_160uA,697021,20760.147086330784,14470258482.26137,14470258482.26137
no_tls_10_256B,total,13165566,2734.5729152424433,36002200197.43679,131655.65
no_tls_10_256B,setup,13165566,2734.5729152424433,36002200197.43679,131655.65
no_tls_10_256B,compute,0,0,0,0
no_tls_10_256B,send,0,0,0,0
no_tls_10_256B,sleep,0,0,0,0
no_tls_10_256B,modem,1275834,27695.737471684755,35335163521.44945,12758.340000000024
no_tls_10_256B,system_above_10uA,0,0,0,0
no_tls_10_256B,system_above_20uA,0,0,0,0
no_tls_10_256B,system_above_40uA,0,0,0,0
no_tls_10_256B,system_above_80uA,0,0,0,0
no_tls_10_256B,system_above_160uA,0,0,0,0
tls_25_1416B,total,15048708,4324.837028598516,65083209590.966705,150487.07
tls_25_1416B,setup,1573524,23931.316499675526,37656500863.835434,15735.23
tls_25_1416B,compute,1467765,6667.260498646385,9785971605.795712,14677.649999999994
tls_25_1416B,send,7698,7138.594746282182,54952902.35688024,76.98000000001048
tls_25_1416B,sleep,11999721,1465.5160916001382,17585784220.2121,119997.21
tls_25_1416B,modem,2090167,28935.688702784864,60480421648.83373,20901.670000000027
tls_25_1416B,system_above_10uA,1770305,9913.645820557866,17550176764.362694,17550176764.362694
tls_25_1416B,system_above_20uA,1693894,10360.152590666561,17549000312.414543,17549000312.414543
tls_25_1416B,system_above_40uA,825401,21231.165436355324,17524225182.333122,17524225182.333122
tls_25_1416B,system_above_80uA,823752,21273.55618063075,17524134450.90694,17524134450.90694
tls_25_1416B,system_above_160uA,822140,21315.034196665758,17523942214.446785,17523942214.446785
no_tls_25_1416B,total,15066564,3903.520958331213,58812648344.03855,150665.62999999998
no_tls_25_1416B,setup,1589974,21048.508114887798,33466580641.46061,15899.73
no_tls_25_1416B,compute,1469821,6656.400161952528,9783716742.441227,14698.210000000006
no_tls_25_1416B,send,7042,7091.911945732144,49941243.92184576,70.41999999999098
no_tls_25_1416B,sleep,11999727,1292.7302193574185,15512409716.939138,119997.26999999999
no_tls_25_1416B,modem,1906939,28523.498763558375,54392572208.681244,19069.390000000043
no_tls_25_1416B,system_above_10uA,1506276,10274.49932802161,15476231749.815079,15476231749.815079
no_tls_25_1416B,system_above_20uA,1441298,10737.012575931245,15475234751.664553,15475234751.664553
no_tls_25_1416B,system_above_40uA,738588,20925.332255630827,15455199300.02186,15455199300.02186
no_tls_25_1416B,system_above_80uA,737497,20956.20873716288,15455141075.031412,15455141075.031412
no_tls_25_1416B,system_above_160uA,735887,21001.79204025023,15454945739.123621,15454945739.123621
tls_10_1416B,total,13442886,3757.0970709382364,50506227615.556625,134428.85
tls_10_1416B,setup,1438612,23197.398098213045,33372055272.866463,14386.11
tls_10_1416B,compute,45,19002.011065161598,855090.4979322719,0.44999999999345164
tls_10_1416B,send,4511,9437.466018812202,42572409.21086184,45.109999999996944
tls_10_1416B,sleep,11999718,1424.2622070998502,17090744843.2558,119997.18
tls_10_1416B,modem,1739411,28246.973627375457,49133096644.16677,17394.11
tls_10_1416B,system_above_10uA,1679437,10154.447743796132,17053755255.497744,17053755255.497744
tls_10_1416B,system_above_20uA,1597895,10671.84800704189,17052492571.2122,17052492571.2122
tls_10_1416B,system_above_40uA,775304,21964.376932688217,17029069293.420906,17029069293.420906
tls_10_1416B,system_above_80uA,774245,21994.348458663975,17029014322.37829,17029014322.37829
tls_10_1416B,system_above_160uA,772997,22029.66566813717,17028865472.473028,17028865472.473028
tls_10_2048B,total,13654653,3881.505010621523,53000604037.79821,136546.52
tls_10_2048B,setup,1650045,21575.276287514836,35600176761.83242,16500.440000000002
tls_10_2048B,compute,46,11955.404365775164,549948.6008256576,0.4600000000100408
tls_10_2048B,send,4841,11828.347297252003,57261029.26599695,48.40999999999622
tls_10_2048B,sleep,11999721,1445.2516270037263,17342616298.840782,119997.20999999999
tls_10_2048B,modem,1824700,28249.529407308357,51546916309.51556,18247.000000000073
tls_10_2048B,system_above_10uA,1725414,10030.495252932544,17306756936.343353,17306756936.343353
tls_10_2048B,system_above_20uA,1644623,10522.476061337196,17305506147.424564,17305506147.424564
tls_10_2048B,system_above_40uA,781065,22124.912994852497,17280995168.324467,17280995168.324467
tls_10_2048B,system_above_80uA,780146,22150.91438587955,17280947254.48639,17280947254.48639
tls_10_2048B,system_above_160uA,778980,22183.89132115121,17280807661.350372,17280807661.350372
tls_20_1416B,total,13621849,4008.2300189503862,54599504075.4093,136218.48
tls_20_1416B,setup,1571724,23243.759016092587,36532773895.809105,15717.229999999998
tls_20_1416B,compute,45865,18481.08580427233,847635000.4129504,458.65000000000146
tls_20_1416B,send,4540,10703.617185667355,48594422.022929795,45.39999999999782
tls_20_1416B,sleep,11999720,1430.9084509827153,17170500757.42631,119997.2
tls_20_1416B,modem,1886624,28177.349202844816,53160063262.467896,18866.240000000078
tls_20_1416B,system_above_10uA,1692273,10124.759279744989,17133856760.61189,17133856760.61189
tls_20_1416B,system_above_20uA,1614468,10611.958434945802,17132667310.55008,17132667310.55008
tls_20_1416B,system_above_40uA,774797,22081.446307865917,17108638354.99559,17108638354.99559
tls_20_1416B,system_above_80uA,773758,22111.02879346809,17108585417.176283,17108585417.176283
tls_20_1416B,system_above_160uA,772560,22145.12925804151,17108441059.592548,17108441059.592548
tls_10_708B,total,13436800,3494.119555194039,46949785639.23126,134367.99000000002
tls_10_708B,setup,1432877,21008.13617163267,30102075133.2005,14328.759999999998
tls_10_708B,compute,45,7370.37412535186,331666.8356408337,0.4499999999970896
tls_10_708B,send,4159,11129.320752635542,46286845.01021122,41.58999999999651
tls_10_708B,sleep,11999719,1400.123785769451,16801091994.44961,119997.19000000002
tls_10_708B,modem,1639396,27771.56092397978,45528585892.528755,16393.95999999999
tls_10_708B,system_above_10uA,1640880,10216.266436620917,16763667270.522532,16763667270.522532
tls_10_708B,system_above_20uA,1560280,10743.218521006082,16762428993.95537,16762428993.95537
tls_10_708B,system_above_40uA,768337,21787.233605322162,16739937706.612415,16739937706.612415
tls_10_708B,system_above_80uA,766878,21828.582769465116,16739859897.08187,16739859897.08187
tls_10_708B,system_above_160uA,765601,21864.796074211077,16739709739.212074,16739709739.212074
tls_15_1024B,total,13475385,3977.0636933575784,53592464437.51531,134753.84
tls_15_1024B,setup,1469898,24793.626149687967,36444101490.17404,14698.97
tls_15_1024B,compute,1437,15258.309770778938,21926191.140609335,14.37000000000262
tls_15_1024B,send,4324,10031.324607778,43375447.60403208,43.24000000000888
tls_15_1024B,sleep,11999726,1423.6209484179305,17083061308.875301,119997.25999999998
tls_15_1024B,modem,1851906,28192.93532250699,52210666081.36263,18519.059999999998
tls_15_1024B,system_above_10uA,1669554,10210.587759110169,17047127635.573418,17047127635.573418
tls_15_1024B,system_above_20uA,1592822,10701.71766414558,17045931333.239693,17045931333.239693
tls_15_1024B,system_above_40uA,766864,22197.519660666323,17022478717.057219,17022478717.057219
tls_15_1024B,system_above_80uA,765911,22225.075962444167,17022430155.471575,17022430155.471575
tls_15_1024B,system_above_160uA,764747,22258.720193107638,17022289491.518486,17022289491.518486
no_tls_20_1416B,total,13131152,2657.207345179816,34892193545.07263,131311.51
no_tls_20_1416B,setup,13131152,2657.207345179816,34892193545.07263,131311.51
no_tls_20_1416B,compute,0,0,0,0
no_tls_20_1416B,send,0,0,0,0
no_tls_20_1416B,sleep,0,0,0,0
no_tls_20_1416B,modem,1237887,27651.003638270344,34228817940.767563,12378.869999999994
no_tls_20_1416B,system_above_10uA,0,0,0,0
no_tls_20_1416B,system_above_20uA,0,0,0,0
no_tls_20_1416B,system_above_40uA,0,0,0,0
no_tls_20_1416B,system_above_80uA,0,0,0,0
no_tls_20_1416B,system_above_160uA,0,0,0,0
no_tls_10_2048B,total,3421355,14432.27061856115,49377921242.16728,34213.54
no_tls_10_2048B,setup,3421355,14432.27061856115,49377921242.16728,34213.54
no_tls_10_2048B,compute,0,0,0,0
no_tls_10_2048B,send,0,0,0,0
no_tls_10_2048B,sleep,0,0,0,0
no_tls_10_2048B,modem,1732859,27887.534465206074,48325165085.84253,17328.59000000003
no_tls_10_2048B,system_above_10uA,0,0,0,0
no_tls_10_2048B,system_above_20uA,0,0,0,0
no_tls_10_2048B,system_above_40uA,0,0,0,0
no_tls_10_2048B,system_above_80uA,0,0,0,0
no_tls_10_2048B,system_above_160uA,0,0,0,0
tls_25_256B,total,15088475,4036.9710602715495,60911736918.63077,150884.74
tls_25_256B,setup,1613727,21891.11494853686,35326283252.55754,16137.259999999998
tls_25_256B,compute,1468463,7090.39075957672,10411976485.980309,14684.630000000001
tls_25_256B,send,6566,7858.322203749004,51597743.58981596,65.66000000000349
tls_25_256B,sleep,11999719,1260.1861291294117,15121879437.250656,119997.19
tls_25_256B,modem,2195649,25945.32030347525,56966816579.005135,21956.47999999998
tls_25_256B,system_above_10uA,1485824,10152.413994120152,15084700370.399582,15084700370.399582
tls_25_256B,system_above_20uA,1425512,10581.297921004792,15083767161.967382,15083767161.967382
tls_25_256B,system_above_40uA,721719,20871.847394426455,15063608829.658066,15063608829.658066
tls_25_256B,system_above_80uA,720647,20902.81782202272,15063552954.987207,15063552954.987207
tls_25_256B,system_above_160uA,719215,20944.19689907277,15063380572.766623,15063380572.766623
