Label, Section, Number of samples, Average Current (uA), Total Current (uA) ,Total time(ms)
no_tls_20_708B,modem,481153,29587.586030190054,14236155781.184034,4811.150000000034
no_tls_20_708B,system,954609,602.5272691323856,575177953.8591975,9513.7199999997
no_tls_15_1416B,total,13752946,3640.581518937881,50068721038.55065,137529.45
no_tls_15_1416B,setup,1748024,20360.76522937564,35591106279.314125,17480.23
no_tls_15_1416B,compute,1435,21321.663077367666,30596586.5160226,14.329999999998108
no_tls_15_1416B,send,3763,7970.45383564758,29992817.783541843,37.63000000000466
no_tls_15_1416B,sleep,10579757,3.452757515962324,36529335.49880501,105762.93000000033
no_tls_15_1416B,modem,467512,29525.911666638647,13803718015.093567,4674.730000000032
no_tls_15_1416B,system,952455,605.5698218224306,576778004.6438832,9489.509999999933
tls_25_1024B,total,15072380,4314.7246084454255,65033168893.84066,150723.78999999998
tls_25_1024B,setup,1638088,22341.427686865718,36597224596.72249,16380.869999999999
tls_25_1024B,compute,1469022,6890.614782630121,10122464709.208866,14690.200000000004
tls_25_1024B,send,7521,7138.56675081724,53689160.53289646,75.20999999999913
tls_25_1024B,sleep,10139134,3.4902830568182015,35388447.61100936,101351.15999999989
tls_25_1024B,modem,598923,29032.391900661878,17388167254.320114,5988.750000000062
tls_25_1024B,system,1219692,685.6113889682279,836234726.2334358,12156.250000000171
tls_15_2048B,total,13307881,3446.181404777359,45861372039.189926,133078.80000000002
tls_15_2048B,setup,1301872,21733.35515992674,28294046548.764145,13018.699999999999
tls_15_2048B,compute,1437,15168.336426455633,21796899.444816746,14.349999999991269
tls_15_2048B,send,4850,11568.091101273723,56105241.84117756,48.500000000010914
tls_15_2048B,sleep,10297191,3.504357833144259,36085041.94023257,102926.64000000033
tls_15_2048B,modem,581078,28937.33612396109,16814849400.239061,5810.319999999996
tls_15_2048B,system,1121453,569.3407635078488,638488907.2581676,11168.79000000042
tls_20_1024B,total,13730831,3906.0473484516865,53633276019.58822,137308.3
tls_20_1024B,setup,1680851,21753.493981978892,36564382113.1032,16808.5
tls_20_1024B,compute,45930,18220.021410427617,836845583.3809404,459.27999999999884
tls_20_1024B,send,4330,10067.627755333508,43592828.18059409,43.29999999999927
tls_20_1024B,sleep,10409423,3.5344294380728445,36791371.08455254,104046.59000000024
tls_20_1024B,modem,524326,29637.77416266631,15539855575.614174,5242.829999999831
tls_20_1024B,system,1065971,573.9448339102987,611808548.548195,10611.630000000216
tls_10_1024B,total,13734809,3930.173242101279,53980178817.17182,137348.08000000002
tls_10_1024B,setup,1730740,21386.150517536662,37013866146.721405,17307.39
tls_10_1024B,compute,44,12051.425782661285,530262.7344370965,0.4200000000091677
tls_10_1024B,send,4303,10323.33285522197,44421301.27602014,43.030000000002474
tls_10_1024B,sleep,10330908,3.6184521129493676,37381895.881285526,103261.77999999947
