Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_25_2048B,system,3574014,2479.5542594944404,8861961637.192762,35740.1399982941,0.4262603547286261
no_tls_e2e_10_256B,total,31056022,2120.9101895639506,65867033507.122215,310560.22013719345,3.168204313092168
no_tls_e2e_10_256B,setup,1041378,24614.216910834053,25632703978.170544,10413.780000180888,1.2329330613714193
no_tls_e2e_10_256B,compute,15241,30855.848207262177,114242512.71264069,152.41000000000656,0.022620178559544037
no_tls_e2e_10_256B,sleep,28130200,5.206797809054088,146468263.7282533,281302.0001099446,0.007045123488082513
no_tls_e2e_10_256B,modem,1284822,29698.04845275913,38156706009.17089,12848.220000234027,1.83533755907455
no_tls_e2e_10_256B,system,584381,3109.1235731306665,1816912742.7896721,5843.810000081136,0.0873935029293966
no_tls_e2e_10_708B,total,31131399,2293.923663753456,71413052851.85068,311313.99013789545,3.4349678436955244
no_tls_e2e_10_708B,setup,1115984,25187.017961374317,28108309052.606354,11159.840000197173,1.3520096654542528
no_tls_e2e_10_708B,compute,16014,30949.114130361908,121854328.16049817,160.13999999999953,0.023839279368181837
no_tls_e2e_10_708B,sleep,28037830,5.1836875617864875,145339350.63048404,280378.30010908435,0.00699082276804614
no_tls_e2e_10_708B,modem,1376062,29955.03188762334,41219981089.34675,13760.620000253943,1.9826810904341672
no_tls_e2e_10_708B,system,585509,3104.2546406484903,1817569030.3914568,5855.090000081383,0.08742507036304423
no_tls_e2e_10_1024B,total,31246940,2425.2009788093537,75780109472.79715,312469.4001389715,3.6450232672626752
no_tls_e2e_10_1024B,setup,1231027,25857.88537629337,31831755061.122295,12310.270000222285,1.5311074184676294
no_tls_e2e_10_1024B,compute,16510,30967.895403622373,128072231.20166159,165.09999999999502,0.0245925657447733
no_tls_e2e_10_1024B,sleep,28038726,5.140340317635419,144128593.7129325,280387.2601090927,0.006932585360289374
no_tls_e2e_10_1024B,modem,1391257,30110.572678669123,41891545013.20717,13912.57000025726,2.0149833151725236
no_tls_e2e_10_1024B,system,569420,3134.081298186761,1784608572.8135056,5694.200000077871,0.08583967235350351
no_tls_e2e_10_1416B,total,31418548,2815.7350440920654,88466306638.08867,314185.48014056974,4.255229351195897
no_tls_e2e_10_1416B,setup,1401947,26483.049211165027,37127831392.445175,14019.470000259593,1.7858486900096808
no_tls_e2e_10_1416B,compute,17199,39502.711584641096,127772532.27198729,171.98999999998875,0.032679483267775915
no_tls_e2e_10_1416B,sleep,27716273,5.578018020451553,154601870.25375482,277162.7301060896,0.007436349962052019
no_tls_e2e_10_1416B,modem,1621047,30258.998365244388,49051258522.98432,16210.470000307418,2.359365535000289
no_tls_e2e_10_1416B,system,662082,3028.0876375142357,2004842319.2207003,6620.820000098097,0.09643291555594445
no_tls_e2e_10_2048B,total,31238537,2488.451865502935,77735595673.23247,312385.37013889325,3.7390821535449574
no_tls_e2e_10_2048B,setup,1220962,25467.82166975026,31095242481.54162,12209.620000220088,1.4956811633891125
no_tls_e2e_10_2048B,compute,18188,31334.472697427835,143064226.6585701,181.87999999997976,0.027412737831138262
no_tls_e2e_10_2048B,sleep,27926640,5.373783845209347,150071726.88297716,279266.4001080488,0.007218450065864035
no_tls_e2e_10_2048B,modem,1472698,30212.680834741906,44494154639.96274,14726.980000275036,2.140168838222176
no_tls_e2e_10_2048B,system,600049,3088.185460617872,1853062597.4582937,6000.490000084556,0.08913231093899993
no_tls_e2e_15_256B,total,31263096,2343.1560191883755,73254311570.86403,312630.960139122,3.523532388126545
no_tls_e2e_15_256B,setup,1245027,26647.41767934088,33176754491.05674,12450.27000022534,1.5958018910487117
no_tls_e2e_15_256B,compute,15948,44372.82941813953,140598920.8195526,159.48000000000633,0.034038344199260884
no_tls_e2e_15_256B,sleep,28136446,5.689548875125774,160083684.68933707,281364.4601100028,0.0077000252365675296
