Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_25_708B,total,34827335,2430.676779578433,84653994479.09924,348273.35017231654,4.071857136459323
no_tls_25_708B,setup,1140075,26332.55914047133,30021092362.072853,11400.750000202432,1.4440145426413442
no_tls_25_708B,compute,751477,17559.23644287769,7680068948.407344,7514.770000113686,0.6346969278124913
no_tls_25_708B,sleep,26109294,3.620282026038393,94523007.78075206,261092.94009112346,0.004546556675840958
no_tls_25_708B,modem,1267333,29951.172347135696,37958109104.212524,12673.33000023021,1.8257850479457876
no_tls_25_708B,system,5559156,1600.9986148356272,8900201055.655167,55591.56000233837,0.42809967079502076
no_tls_25_1024B,total,34748421,2440.558691178103,84805560876.2657,347484.2101715816,4.079147480162591
no_tls_25_1024B,setup,1058540,25222.642396398638,26699175882.283813,10585.400000184634,1.2842303599602514
no_tls_25_1024B,compute,752255,17119.592320188145,7397472468.549692,7522.55000011385,0.6194461781009677
no_tls_25_1024B,sleep,25986680,3.3987304273949066,88321720.02297467,259866.80008998152,0.00424827473457609
no_tls_25_1024B,modem,1372636,30378.939582023053,41699226112.109795,13726.360000253195,2.0057327760294785
no_tls_25_1024B,system,5578310,1599.295251142641,8921364692.401506,55783.10000237739,0.42911764172280076
no_tls_25_1416B,total,34737854,2382.695863464761,82769741031.4428,347378.5401714832,3.9812245455777266
no_tls_25_1416B,setup,1045731,24514.942999095714,25636035857.38736,10457.310000181838,1.2330933247617737
no_tls_25_1416B,compute,752457,17463.6546257481,7659645807.253356,7524.570000113897,0.6320652250253137
no_tls_25_1416B,sleep,26055611,3.349118662443669,87263333.06147255,260556.1100906235,0.004197366321716707
no_tls_25_1416B,modem,1338529,30224.13110617495,40455875985.41725,13385.29000024575,1.9459276349342964
no_tls_25_1416B,system,5545526,1610.473027703377,8930920047.427797,55455.2600023106,0.42957725429917576
no_tls_25_2048B,total,34719991,2409.3515780970183,83652665107.36427,347199.9101713168,4.023693193649609
no_tls_25_2048B,setup,1027359,24556.26476338648,25228099611.04797,10273.590000177828,1.2134715913124117
no_tls_25_2048B,compute,753113,17509.40926032395,7700284101.445549,7531.1300001140335,0.6342737157242077
no_tls_25_2048B,sleep,25982522,3.324403638213498,86376390.66676225,259825.2200899428,0.004154704392509483
no_tls_25_2048B,modem,1379289,30262.162980142515,41740268514.71779,13792.890000254647,2.007706915594992
no_tls_25_2048B,system,5577708,1595.2137488368173,8897636488.597107,55777.08000237616,0.42797631511975304
no_tls_e2e_10_256B,total,31267774,2338.9318770307304,73133193332.39267,312677.74013916554,3.517706600853736
no_tls_e2e_10_256B,setup,1253131,26509.018050500756,33219272298.642063,12531.31000022711,1.5978469975936413
no_tls_e2e_10_256B,compute,15239,31186.34283676134,116397081.53367695,152.39000000000658,0.022859461435341417
no_tls_e2e_10_256B,sleep,26127425,3.3062455954442806,86383683.82655078,261274.2500912923,0.004155055193508918
no_tls_e2e_10_256B,modem,1265974,29896.880498765746,37848673392.544464,12659.740000229913,1.8205211902144511
no_tls_e2e_10_256B,system,2606005,714.6827711822209,1862466875.1147237,26060.049998762348,0.0895846566887636
no_tls_e2e_10_708B,total,31095868,2222.692789536277,69116561587.97185,310958.68013756454,3.324506613852169
