Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_15_1416B,system,2579541,712.5410299000154,1838030441.3011422,25795.413998804706,0.08822539611554676
no_tls_15_2048B,total,31094436,2274.065021660881,70716043492.71524,310944.36413755117,3.3941169704053884
no_tls_15_2048B,setup,1076832,25620.089547577736,27645456944.730186,10768.324000188626,1.3242500407783826
no_tls_15_2048B,compute,718,34617.00162312847,24870268.39083433,7.183999999999891,0.0011937049903706454
no_tls_15_2048B,send,14698,7485.937825342919,110031450.89842899,146.9840000000113,0.005281502809537383
no_tls_15_2048B,sleep,26072978,3.2640228605256603,85102939.92147496,260729.78609078526,0.004084934314657384
no_tls_15_2048B,modem,1356759,30226.325398127745,41010035152.560135,13567.59200024973,1.9684725632091995
no_tls_15_2048B,system,2572449,715.5008505752846,1840546735.5396218,25724.49399881606,0.08834830721650413
no_tls_20_256B,total,31225874,2206.357812403055,68907538200.04097,312258.7441387753,3.3069816941844166
no_tls_20_256B,setup,1097058,25669.58955406122,28247085379.00164,10970.580000193042,1.3517293717197514
no_tls_20_256B,compute,22953,35099.74524144512,805665397.9337909,229.5379999999362,0.03867228155149723
no_tls_20_256B,send,14592,7331.877595503061,106988426.3789896,145.92200000001225,0.005135434763957219
no_tls_20_256B,sleep,26172278,3.295868445327642,86260113.9288516,261722.78809171,0.004140498617734272
no_tls_20_256B,modem,1258802,29887.3165156223,37623272797.58164,12588.020000228347,1.8058662626486808
no_tls_20_256B,system,2660189,766.2068934808188,2038266084.5814316,26601.895998675616,0.09783626925045633
no_tls_20_708B,total,31220745,2222.9870770488496,69410796727.29823,312207.4581387276,3.331359095043173
no_tls_20_708B,setup,1092035,25412.930089043908,27761891539.801136,10920.358000191945,1.3320878131498044
no_tls_20_708B,compute,22940,35516.52593769117,814757019.2168353,229.40199999993632,0.039108297999148646
no_tls_20_708B,send,14599,7362.92881032191,107495974.56734243,145.9960000000122,0.005159799142040867
no_tls_20_708B,sleep,26133402,3.4591302434452302,90401358.90527585,261334.02009134795,0.004339144380187704
no_tls_20_708B,modem,1285929,30001.172632451962,38579168477.17749,12859.29800023427,1.8518112923384284
no_tls_20_708B,system,2671838,769.9241703459663,2057082356.9759643,26718.383998656966,0.09874142223912434
no_tls_20_1024B,total,31248493,2286.568322595692,71460649381.1437,312484.934138986,3.429687128114911
no_tls_20_1024B,setup,1119985,25689.854930467984,28852613638.57009,11199.858000198046,1.3810690908812595
